City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Vardo,70.3705,31.1107,48.18,87,0,9.22,NO,2022-06-21 17:09:04
270,Bonavista,48.6499,-53.1147,51.85,94,100,2.48,CA,2022-06-21 17:14:02
271,Liverpool,53.4106,-2.9779,75.38,57,0,11.5,GB,2022-06-21 17:14:02
272,Bonthe,7.5264,-12.505,81.0,77,100,8.21,SL,2022-06-21 17:14:02
273,Chifeng,42.2683,118.9636,68.86,83,100,2.01,CN,2022-06-21 17:14:03
274,Mezen,65.8522,44.24,51.37,73,90,8.16,RU,2022-06-21 17:14:03
275,Rumford,44.5537,-70.5509,77.83,59,10,5.23,US,2022-06-21 17:14:04
276,Springfield,37.2153,-93.2982,89.89,62,0,10.36,US,2022-06-21 17:11:45
277,Buin,-33.7333,-70.75,57.06,55,100,3.98,CL,2022-06-21 17:14:04
278,Laguna,38.421,-121.4238,92.08,29,0,12.66,US,2022-06-21 17:14:05
279,Panzhihua,26.5851,101.7128,79.52,69,100,2.48,CN,2022-06-21 17:14:05
280,Chiredzi,-21.05,31.6667,62.01,67,60,5.82,ZW,2022-06-21 17:14:05
281,Grants,35.1473,-107.8514,68.23,56,40,13.8,US,2022-06-21 17:14:06
282,Pisco,-13.7,-76.2167,64.45,77,72,11.5,PE,2022-06-21 17:14:07
283,Sunrise Manor,36.2111,-115.0731,91.49,8,0,13.8,US,2022-06-21 17:11:28
284,Haines Junction,60.7522,-137.5108,54.73,55,33,1.54,CA,2022-06-21 17:14:08
285,Minusio,46.1777,8.8147,83.21,82,79,1.01,CH,2022-06-21 17:14:08
286,Beringovskiy,63.05,179.3167,45.03,82,44,6.78,RU,2022-06-21 17:14:08
287,Ancud,-41.8697,-73.8203,45.23,56,0,11.27,CL,2022-06-21 17:14:09
288,Porto Walter,-8.2686,-72.7439,90.19,40,20,2.21,BR,2022-06-21 17:14:09
289,Oytal,42.9057,73.2697,65.5,63,85,5.19,KZ,2022-06-21 17:14:09
290,Plettenberg Bay,-34.0527,23.3716,59.59,76,97,2.35,ZA,2022-06-21 17:14:10
291,Tuy Hoa,13.0833,109.3,76.95,88,100,6.22,VN,2022-06-21 17:11:54
